Sample,TransectID,Individual.ID,Year,Site,Visit,DateCollected,Type,SpeciesCode,GenusCode,DWV,S18Retest,NegDWV
3280,K16B1N,K16B1N-31,2016,K,1,8/21/2016,NON,BOIM,BOMB,1,1,1
2373,BP16C1N,BP16C1N-58,2016,BP,1,8/10/2016,NON,BOIM,BOMB,1,1,1
2710,SP16C1N,SP16C1N-57,2016,SP,1,8/14/2016,NON,BOIM,BOMB,1,1,0
4782,SP16B2N,SP16B2N-33,2016,SP,2,9/1/2016,NON,BOIM,BOMB,1,1,1
4868,T16A2N,T16A2N-16,2016,T,2,9/2/2016,NON,BOIM,BOMB,1,1,1
2412,BP16B1P,BP16B1P-99,2016,BP,1,8/10/2016,NON,LASI,LASI,1,1,1
3724,PR16D2N,PR16D2N-230,2016,PR,2,8/23/2016,APIS,APME,APIS,1,1,0
4320,K16B2N,K16B2N-20,2016,K,2,8/28/2016,APIS,APME,APIS,1,1,0
1795,PR16C1N,PR16C1N-48,2016,PR,1,7/26/2016,NON,PEPR,PEPO,1,1,0
2322,BP16A1N,BP16A1N-7,2016,BP,1,8/10/2016,NON,PEPR,PEPO,1,1,0
2478,PL16A1N,PL16A1N-4,2016,PL,1,8/11/2016,NON,PEPR,PEPO,1,1,0
2505,PL16B1N,PL16B1N-31,2016,PL,1,8/11/2016,NON,PEPR,PEPO,1,1,0
3375,E16B2N,E16B2N-16,2016,E,2,8/22/2016,NON,PEPR,PEPO,1,1,0
4984,T16D2N,T16D2N-132,2016,T,2,9/2/2016,NON,LASI,LASI,1,1,0
3975,GT16C2N,GT16C2N-78,2016,GT,2,8/24/2016,APIS,APME,APIS,1,1,0
4151,BP16B2N,BP16B2N-38,2016,BP,2,8/26/2016,APIS,APME,APIS,1,1,1
2268,E16B1P,E16B1P-169,2016,E,1,7/27/2016,NON,LASI,LASI,1,1,0
2565,PL16A1P,PL16A1P-91,2016,PL,1,8/11/2016,NON,LASI,LASI,1,1,0
3171,T16C1N,T16C1N-70,2016,T,1,8/18/2016,NON,BOIM,BOMB,1,1,1
3268,K16A1N,K16A1N-19,2016,K,1,8/21/2016,NON,BOIM,BOMB,1,1,0
3327,K16D1N,K16D1N-78,2016,K,1,8/21/2016,NON,BOIM,BOMB,1,1,1
4237,BP16C2N,BP16C2N-124,2016,BP,2,8/26/2016,NON,BOIM,BOMB,1,1,1
4970,T16D2N,T16D2N-118,2016,T,2,9/2/2016,APIS,APME,APIS,1,1,0
2795,SP16B1P,SP16B1P-142,2016,SP,1,8/14/2016,NON,LASI,LASI,1,1,0
2796,SP16B1P,SP16B1P-143,2016,SP,1,8/14/2016,NON,LASI,LASI,1,1,0
2997,GT16D1N,GT16D1N-105,2016,GT,1,8/17/2016,NON,LASI,LASI,1,1,0
